"Id","ChannelId","ChannelValue","TimeStamp"
"622594","1","0","2009-10-21 00:14:34"
"622620","1","630","2009-10-21 01:00:00"
"655362","1","0","2009-10-21 01:10:46"
"688130","1","0","2009-10-21 01:47:56"
"720898","1","0","2009-10-21 01:48:24"
"720960","1","1520","2009-10-21 02:54:35"
"721021","1","2708","2009-10-21 04:00:38"
"721083","1","4260","2009-10-21 05:06:41"
"721144","1","5417","2009-10-21 06:12:45"
"721206","1","7002","2009-10-21 07:18:48"
"721267","1","8456","2009-10-21 08:24:52"
"721329","1","9116","2009-10-21 09:30:55"
"721390","1","10569","2009-10-21 10:36:58"
"721452","1","10768","2009-10-21 11:43:02"
"721513","1","10768","2009-10-21 12:49:05"
"721575","1","10768","2009-10-21 13:55:08"
"721636","1","10834","2009-10-21 15:01:11"
"721698","1","13278","2009-10-21 16:07:15"
"721759","1","14004","2009-10-21 17:13:18"
"721821","1","14004","2009-10-21 18:19:21"
"721882","1","14004","2009-10-21 19:25:25"
"721944","1","14004","2009-10-21 20:31:28"
"722005","1","14004","2009-10-21 21:37:33"
"722067","1","14004","2009-10-21 22:43:38"
"753666","1","0","2009-10-21 23:12:42"
"753728","1","0","2009-10-22 00:15:19"
"753789","1","0","2009-10-22 01:15:24"
"753851","1","0","2009-10-22 02:15:29"
"753912","1","0","2009-10-22 03:15:33"
"753974","1","0","2009-10-22 04:15:38"
"754035","1","0","2009-10-22 05:15:42"
"754097","1","0","2009-10-22 06:15:47"
"754158","1","441","2009-10-22 07:16:12"
"754220","1","1883","2009-10-22 08:16:17"
"754281","1","2874","2009-10-22 09:16:21"
"754343","1","3475","2009-10-22 10:16:26"
"754404","1","4527","2009-10-22 11:16:31"
"754466","1","4798","2009-10-22 12:16:36"
"754527","1","5519","2009-10-22 13:16:40"
"754589","1","6480","2009-10-22 14:16:45"
"754650","1","7441","2009-10-22 15:16:50"
"754712","1","8312","2009-10-22 16:16:55"
"754773","1","9243","2009-10-22 17:16:59"
"754835","1","10175","2009-10-22 18:17:04"
"754896","1","11167","2009-10-22 19:17:13"
